,index,variable,depth,intensity_bin,mdr,dr,damage_bin_ID,damage_bin_id
1994,761,depth_meters_2021,0.6664848136083845,20,0.83,0.9508884893669255,11,11
1995,21112,depth_meters_2021,0.6309987983064923,19,0.82,0.8567611654166852,10,10
1996,30235,depth_meters_2021,0.3567461985241652,11,0.65,0.7914361034690843,9,9
1997,21289,depth_meters_2021,0.7848845972043722,23,0.85,0.782826076497157,9,9
1998,21825,depth_meters_2021,0.36796755410865156,11,0.65,0.7736389311839417,9,9
1999,25035,depth_meters_2021,0.4242324990051405,13,0.7,0.8225957672262002,10,10
2000,5568,depth_meters_2022,0.7916017321942542,23,0.85,0.8143960171526211,10,10
2001,18566,depth_meters_2022,0.8982416902119532,27,0.85,0.726862161134011,9,9
2002,14858,depth_meters_2022,0.936042406726451,28,0.85,0.9667678575808117,11,11
2003,3415,depth_meters_2022,0.2966699058276293,9,0.6,0.6358456261053487,8,8
2004,21385,depth_meters_2022,0.4361568651301979,13,0.7,0.8359574057975118,10,10
2005,19709,depth_meters_2022,0.4327111974607559,13,0.7,0.6923095318585891,8,8
2006,20062,depth_meters_2022,0.16913693108425698,5,0.42,0.45657258833563374,6,6
2007,12393,depth_meters_2022,0.14502606072862256,5,0.42,0.3359192606639786,5,5
2008,11750,depth_meters_2022,0.8711439483691082,26,0.85,0.9172061687493404,11,11
2009,8230,depth_meters_2022,0.2643927798725747,8,0.58,0.7151115414853182,9,9
2010,2055,depth_meters_2022,0.9534776356825239,28,0.85,0.9961599379569713,11,11
2011,29190,depth_meters_2022,0.033549942950850786,1,0.15,0.11210350904250874,3,3
2012,23259,depth_meters_2022,0.12622367915254118,4,0.36,0.3210615239894553,5,5
2013,24150,depth_meters_2022,0.2760081137027116,9,0.6,0.7456768799057041,9,9
2014,19664,depth_meters_2022,0.08057788484097295,3,0.3,0.3158457329027666,5,5
2015,3501,depth_meters_2022,0.679051495994711,20,0.83,0.8734300566374474,10,10
2016,8333,depth_meters_2022,0.8169313226025808,24,0.85,0.8622590623344691,10,10
2017,22058,depth_meters_2022,0.0437893119594146,2,0.225,0.15251108104116123,3,3
2018,29616,depth_meters_2022,0.5897756696925466,18,0.81,0.903480875851405,11,11
2019,29749,depth_meters_2022,0.24806676105526615,8,0.58,0.5178779234969134,7,7
2020,13022,depth_meters_2022,0.6718729857557588,20,0.83,0.8985116711759985,10,10
2021,8896,depth_meters_2022,0.7354231182134404,22,0.845,0.976079705451325,11,11
2022,28010,depth_meters_2022,0.046138113264651226,2,0.225,0.18483909057365744,3,3
2023,3994,depth_meters_2022,0.6670527346583458,20,0.83,0.927331251575097,11,11
2024,20460,depth_meters_2022,0.7752590771417383,23,0.85,0.9300251743153419,11,11
2025,25157,depth_meters_2022,0.29299896865017583,9,0.6,0.6837235975156387,8,8
2026,419,depth_meters_2022,0.3960331049368937,12,0.675,0.7534866700307997,9,9
2027,17785,depth_meters_2022,0.23523989649300125,7,0.55,0.4294281129568144,6,6
2028,27253,depth_meters_2022,0.07311742767857254,3,0.3,0.3528032424080165,5,5
2029,18145,depth_meters_2022,0.26036564675950946,8,0.58,0.6346492113359129,8,8
2030,20009,depth_meters_2022,0.15771661004453186,5,0.42,0.47516067530574513,6,6
2031,13512,depth_meters_2022,0.09251568949604372,3,0.3,0.252431389159082,4,4
2032,7390,depth_meters_2022,0.9469757045461092,28,0.85,0.9360507807442319,11,11
2033,30128,depth_meters_2022,0.5863216905963289,18,0.81,0.9443555213917914,11,11
2034,25265,depth_meters_2022,0.026052222330195773,1,0.15,0.2946618250036708,4,4
2035,28993,depth_meters_2022,0.32124159849132816,10,0.625,0.5376389006535727,7,7
2036,5256,depth_meters_2022,0.7966278634927829,24,0.85,0.836403116694065,10,10
2037,22808,depth_meters_2022,0.5878440286229134,18,0.81,0.9579860799194653,11,11
2038,14500,depth_meters_2022,0.40218700468342816,12,0.675,0.7432968710513143,9,9
2039,31528,depth_meters_2022,0.7694789351333449,23,0.85,0.9993686779893131,11,11
2040,18339,depth_meters_2022,0.7694281710453292,23,0.85,0.9614226386199806,11,11
2041,9815,depth_meters_2022,0.9552904502497729,28,0.85,0.9976028558689807,11,11
2042,1953,depth_meters_2022,0.039479712151259894,2,0.225,0.15188370653700473,3,3
2043,26063,depth_meters_2022,0.3848372876931565,12,0.675,0.8061375676219587,10,10
2044,29247,depth_meters_2022,0.14704458960919775,5,0.42,0.46140628128757766,6,6
2045,22144,depth_meters_2022,0.8286230511641864,25,0.85,0.9411763012226921,11,11
2046,9253,depth_meters_2022,0.9670069220432015,29,0.85,0.8339265152876281,10,10
2047,26135,depth_meters_2022,0.8722954921134282,26,0.85,0.869518356551497,10,10
2048,29107,depth_meters_2022,0.23395563128525032,7,0.55,0.6048265749450854,8,8
2049,5504,depth_meters_2022,0.033596300432403026,1,0.15,0.12755767866834736,3,3
2050,25942,depth_meters_2022,0.04404571666426915,2,0.225,0.18110537258631298,3,3
